AQI_ID,Location_ID,country,date,state,city,station,latitude,longitude,pollutant id,pollutant min,pollutant max,pollutant avg
A170,L57,India,31-05-2026,Haryana,Mandikhera,"General Hospital, Mandikhera(Nuh) - HSPCB",27.9,76.99,PM10,14,58,33
A171,L57,India,31-05-2026,Haryana,Mandikhera,"General Hospital, Mandikhera(Nuh) - HSPCB",27.9,76.99,OZONE,54,57,56
A172,L8,India,31-05-2026,Delhi,Delhi,"IGNOU_Maidan Garhi, Delhi - DPCC",28.49,77.2,PM2.5,22,70,46
A173,L8,India,31-05-2026,Delhi,Delhi,"IIT Delhi, Delhi - IITM",28.54,77.19,NO2,2,33,10
A174,L8,India,31-05-2026,Delhi,Delhi,"IMD Lodhi Road, Delhi - IITM",28.59,77.23,PM2.5,0,0,0
A175,L8,India,31-05-2026,Delhi,Delhi,"IMD Lodhi Road, Delhi - IITM",28.59,77.23,PM10,0,0,0
A176,L8,India,31-05-2026,Delhi,Delhi,"ITO, Delhi - CPCB",28.63,77.24,PM2.5,32,98,52
A177,L8,India,31-05-2026,Delhi,Delhi,"ITO, Delhi - CPCB",28.63,77.24,NH3,1,5,4
A178,L8,India,31-05-2026,Delhi,Delhi,"ITO, Delhi - CPCB",28.63,77.24,SO2,1,20,12
A179,L8,India,31-05-2026,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",28.58,77.23,PM2.5,20,77,41
A180,L8,India,31-05-2026,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",28.58,77.23,NH3,9,13,10
A181,L8,India,31-05-2026,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",28.61,77.24,OZONE,1,46,23
A182,L8,India,31-05-2026,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",28.64,77.2,PM10,33,178,84
A183,L8,India,31-05-2026,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",28.64,77.2,NO2,19,66,30
A184,L8,India,31-05-2026,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",28.64,77.2,SO2,17,53,30
A185,L8,India,31-05-2026,Delhi,Delhi,"Mundka, Delhi - DPCC",28.68,77.08,NO2,113,134,122
A186,L8,India,31-05-2026,Delhi,Delhi,"Mundka, Delhi - DPCC",28.68,77.08,CO,38,57,41
A187,L58,India,31-05-2026,Haryana,Bahadurgarh,"Arya Nagar, Bahadurgarh - HSPCB",28.67,76.93,PM10,108,119,112
A188,L58,India,31-05-2026,Haryana,Bahadurgarh,"Arya Nagar, Bahadurgarh - HSPCB",28.67,76.93,NO2,12,14,13
A189,L58,India,31-05-2026,Haryana,Bahadurgarh,"Arya Nagar, Bahadurgarh - HSPCB",28.67,76.93,SO2,5,7,6
A190,L59,India,31-05-2026,Haryana,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB",28.34,77.32,NO2,19,21,20
A191,L59,India,31-05-2026,Haryana,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB",28.34,77.32,NH3,3,4,3
A192,L60,India,31-05-2026,Haryana,Bhiwani,"H.B. Colony, Bhiwani - HSPCB",28.81,76.14,SO2,1,29,9
A193,L61,India,31-05-2026,Haryana,Charkhi Dadri,"Mini Secretariat, Charkhi Dadri - HSPCB",28.59,76.27,PM2.5,28,500,136
A194,L62,India,31-05-2026,Haryana,Dharuhera,"Municipal Corporation Office, Dharuhera -  HSPCB",28.21,76.8,PM2.5,65,142,94
A195,L62,India,31-05-2026,Haryana,Dharuhera,"Municipal Corporation Office, Dharuhera -  HSPCB",28.21,76.8,NO2,15,50,38
A196,L63,India,31-05-2026,Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB",28.39,77.3,OZONE,22,24,23
A197,L63,India,31-05-2026,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB",28.44,77.32,OZONE,10,10,10
A198,L8,India,31-05-2026,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",28.67,77.13,OZONE,16,67,39
A199,L8,India,31-05-2026,Delhi,Delhi,"Pusa, Delhi - DPCC",28.64,77.15,NO2,11,58,26
A200,L8,India,31-05-2026,Delhi,Delhi,"Pusa, Delhi - DPCC",28.64,77.15,SO2,10,20,16
A201,L8,India,31-05-2026,Delhi,Delhi,"R K Puram, Delhi - DPCC",28.56,77.19,PM2.5,18,85,45
A202,L8,India,31-05-2026,Delhi,Delhi,"Rohini, Delhi - DPCC",28.73,77.12,PM10,41,422,106
A203,L8,India,31-05-2026,Delhi,Delhi,"Rohini, Delhi - DPCC",28.73,77.12,CO,36,64,42
A204,L8,India,31-05-2026,Delhi,Delhi,"Shadipur, Delhi - CPCB",28.65,77.15,PM2.5,19,288,80
A205,L8,India,31-05-2026,Delhi,Delhi,"Sirifort, Delhi - CPCB",28.55,77.22,PM10,49,217,90
